LISZT_FERENC_STATION__MEMORY;LISZT_FERENC_STATION__LOAD_OF_RESOURCE;LISZT_FERENC_STATION__TOTAL_PROCESSING_POWER;KALOCSA_FOKTO_STATION__MEMORY;KALOCSA_FOKTO_STATION__LOAD_OF_RESOURCE;KALOCSA_FOKTO_STATION__TOTAL_PROCESSING_POWER;DEBRECEN_INTERNATIONAL_AIRPORT__MEMORY;DEBRECEN_INTERNATIONAL_AIRPORT__LOAD_OF_RESOURCE;DEBRECEN_INTERNATIONAL_AIRPORT__TOTAL_PROCESSING_POWER;KECSKEMET_AIRPORT__MEMORY;KECSKEMET_AIRPORT__LOAD_OF_RESOURCE;KECSKEMET_AIRPORT__TOTAL_PROCESSING_POWER;BUDAPEST_MAIN__MEMORY;BUDAPEST_MAIN__LOAD_OF_RESOURCE;BUDAPEST_MAIN__TOTAL_PROCESSING_POWER;
60129542144,00000000;56,00000000;0,00014000;81604378624,00000000;76,00000000;0,00019000;85899345920,00000000;80,00000000;0,00020000;81604378624,00000000;76,00000000;0,00019000;8589934592,00000000;16,00000000;0,00002000;
64424509440,00000000;60,00000000;0,00015000;81604378624,00000000;76,00000000;0,00019000;85899345920,00000000;80,00000000;0,00020000;81604378624,00000000;76,00000000;0,00019000;8589934592,00000000;16,00000000;0,00002000;
64424509440,00000000;60,00000000;0,00015000;81604378624,00000000;76,00000000;0,00019000;85899345920,00000000;80,00000000;0,00020000;85899345920,00000000;80,00000000;0,00020000;8589934592,00000000;16,00000000;0,00002000;
64424509440,00000000;60,00000000;0,00015000;85899345920,00000000;80,00000000;0,00020000;85899345920,00000000;80,00000000;0,00020000;85899345920,00000000;80,00000000;0,00020000;8589934592,00000000;16,00000000;0,00002000;
64424509440,00000000;60,00000000;0,00015000;85899345920,00000000;80,00000000;0,00020000;90194313216,00000000;84,00000000;0,00021000;85899345920,00000000;80,00000000;0,00020000;8589934592,00000000;16,00000000;0,00002000;
64424509440,00000000;60,00000000;0,00015000;85899345920,00000000;80,00000000;0,00020000;90194313216,00000000;84,00000000;0,00021000;90194313216,00000000;84,00000000;0,00021000;8589934592,00000000;16,00000000;0,00002000;
68719476736,00000000;64,00000000;0,00016000;85899345920,00000000;80,00000000;0,00020000;90194313216,00000000;84,00000000;0,00021000;90194313216,00000000;84,00000000;0,00021000;8589934592,00000000;16,00000000;0,00002000;
68719476736,00000000;64,00000000;0,00016000;90194313216,00000000;84,00000000;0,00021000;90194313216,00000000;84,00000000;0,00021000;90194313216,00000000;84,00000000;0,00021000;8589934592,00000000;16,00000000;0,00002000;
68719476736,00000000;64,00000000;0,00016000;90194313216,00000000;84,00000000;0,00021000;94489280512,00000000;88,00000000;0,00022000;90194313216,00000000;84,00000000;0,00021000;8589934592,00000000;16,00000000;0,00002000;
68719476736,00000000;64,00000000;0,00016000;90194313216,00000000;84,00000000;0,00021000;94489280512,00000000;88,00000000;0,00022000;94489280512,00000000;88,00000000;0,00022000;8589934592,00000000;16,00000000;0,00002000;
73014444032,00000000;68,00000000;0,00017000;90194313216,00000000;84,00000000;0,00021000;94489280512,00000000;88,00000000;0,00022000;94489280512,00000000;88,00000000;0,00022000;8589934592,00000000;16,00000000;0,00002000;
73014444032,00000000;68,00000000;0,00017000;94489280512,00000000;88,00000000;0,00022000;94489280512,00000000;88,00000000;0,00022000;94489280512,00000000;88,00000000;0,00022000;8589934592,00000000;16,00000000;0,00002000;
73014444032,00000000;68,00000000;0,00017000;94489280512,00000000;88,00000000;0,00022000;98784247808,00000000;92,00000000;0,00023000;94489280512,00000000;88,00000000;0,00022000;8589934592,00000000;16,00000000;0,00002000;
73014444032,00000000;68,00000000;0,00017000;94489280512,00000000;88,00000000;0,00022000;98784247808,00000000;92,00000000;0,00023000;98784247808,00000000;92,00000000;0,00023000;8589934592,00000000;16,00000000;0,00002000;
77309411328,00000000;72,00000000;0,00018000;94489280512,00000000;88,00000000;0,00022000;98784247808,00000000;92,00000000;0,00023000;98784247808,00000000;92,00000000;0,00023000;8589934592,00000000;16,00000000;0,00002000;
77309411328,00000000;72,00000000;0,00018000;98784247808,00000000;92,00000000;0,00023000;98784247808,00000000;92,00000000;0,00023000;98784247808,00000000;92,00000000;0,00023000;8589934592,00000000;16,00000000;0,00002000;
77309411328,00000000;72,00000000;0,00018000;98784247808,00000000;92,00000000;0,00023000;103079215104,00000000;96,00000000;0,00024000;98784247808,00000000;92,00000000;0,00023000;8589934592,00000000;16,00000000;0,00002000;
77309411328,00000000;72,00000000;0,00018000;98784247808,00000000;92,00000000;0,00023000;103079215104,00000000;96,00000000;0,00024000;103079215104,00000000;96,00000000;0,00024000;8589934592,00000000;16,00000000;0,00002000;
81604378624,00000000;76,00000000;0,00019000;98784247808,00000000;92,00000000;0,00023000;103079215104,00000000;96,00000000;0,00024000;103079215104,00000000;96,00000000;0,00024000;8589934592,00000000;16,00000000;0,00002000;
81604378624,00000000;76,00000000;0,00019000;103079215104,00000000;96,00000000;0,00024000;103079215104,00000000;96,00000000;0,00024000;103079215104,00000000;96,00000000;0,00024000;8589934592,00000000;16,00000000;0,00002000;
81604378624,00000000;76,00000000;0,00019000;103079215104,00000000;96,00000000;0,00024000;107374182400,00000000;100,00000000;0,00025000;103079215104,00000000;96,00000000;0,00024000;8589934592,00000000;16,00000000;0,00002000;
81604378624,00000000;76,00000000;0,00019000;103079215104,00000000;96,00000000;0,00024000;107374182400,00000000;100,00000000;0,00025000;107374182400,00000000;100,00000000;0,00025000;8589934592,00000000;16,00000000;0,00002000;
85899345920,00000000;80,00000000;0,00020000;103079215104,00000000;96,00000000;0,00024000;107374182400,00000000;100,00000000;0,00025000;107374182400,00000000;100,00000000;0,00025000;8589934592,00000000;16,00000000;0,00002000;
85899345920,00000000;80,00000000;0,00020000;107374182400,00000000;100,00000000;0,00025000;107374182400,00000000;100,00000000;0,00025000;107374182400,00000000;100,00000000;0,00025000;8589934592,00000000;16,00000000;0,00002000;
85899345920,00000000;80,00000000;0,00020000;107374182400,00000000;100,00000000;0,00025000;111669149696,00000000;104,00000000;0,00026000;107374182400,00000000;100,00000000;0,00025000;8589934592,00000000;16,00000000;0,00002000;
85899345920,00000000;80,00000000;0,00020000;107374182400,00000000;100,00000000;0,00025000;111669149696,00000000;104,00000000;0,00026000;111669149696,00000000;104,00000000;0,00026000;8589934592,00000000;16,00000000;0,00002000;
90194313216,00000000;84,00000000;0,00021000;107374182400,00000000;100,00000000;0,00025000;111669149696,00000000;104,00000000;0,00026000;111669149696,00000000;104,00000000;0,00026000;8589934592,00000000;16,00000000;0,00002000;
90194313216,00000000;84,00000000;0,00021000;111669149696,00000000;104,00000000;0,00026000;111669149696,00000000;104,00000000;0,00026000;111669149696,00000000;104,00000000;0,00026000;8589934592,00000000;16,00000000;0,00002000;
90194313216,00000000;84,00000000;0,00021000;111669149696,00000000;104,00000000;0,00026000;115964116992,00000000;108,00000000;0,00027000;111669149696,00000000;104,00000000;0,00026000;8589934592,00000000;16,00000000;0,00002000;
90194313216,00000000;84,00000000;0,00021000;111669149696,00000000;104,00000000;0,00026000;115964116992,00000000;108,00000000;0,00027000;115964116992,00000000;108,00000000;0,00027000;8589934592,00000000;16,00000000;0,00002000;
94489280512,00000000;88,00000000;0,00022000;111669149696,00000000;104,00000000;0,00026000;115964116992,00000000;108,00000000;0,00027000;115964116992,00000000;108,00000000;0,00027000;8589934592,00000000;16,00000000;0,00002000;
94489280512,00000000;88,00000000;0,00022000;115964116992,00000000;108,00000000;0,00027000;115964116992,00000000;108,00000000;0,00027000;115964116992,00000000;108,00000000;0,00027000;8589934592,00000000;16,00000000;0,00002000;
94489280512,00000000;88,00000000;0,00022000;115964116992,00000000;108,00000000;0,00027000;115964116992,00000000;108,00000000;0,00027000;115964116992,00000000;108,00000000;0,00027000;12884901888,00000000;24,00000000;0,00003000;
94489280512,00000000;88,00000000;0,00022000;115964116992,00000000;108,00000000;0,00027000;120259084288,00000000;112,00000000;0,00028000;115964116992,00000000;108,00000000;0,00027000;12884901888,00000000;24,00000000;0,00003000;
94489280512,00000000;88,00000000;0,00022000;115964116992,00000000;108,00000000;0,00027000;120259084288,00000000;112,00000000;0,00028000;120259084288,00000000;112,00000000;0,00028000;12884901888,00000000;24,00000000;0,00003000;
94489280512,00000000;88,00000000;0,00022000;120259084288,00000000;112,00000000;0,00028000;120259084288,00000000;112,00000000;0,00028000;120259084288,00000000;112,00000000;0,00028000;12884901888,00000000;24,00000000;0,00003000;
94489280512,00000000;88,00000000;0,00022000;120259084288,00000000;112,00000000;0,00028000;120259084288,00000000;112,00000000;0,00028000;120259084288,00000000;112,00000000;0,00028000;17179869184,00000000;32,00000000;0,00004000;
94489280512,00000000;88,00000000;0,00022000;120259084288,00000000;112,00000000;0,00028000;120259084288,00000000;112,00000000;0,00028000;124554051584,00000000;116,00000000;0,00029000;17179869184,00000000;32,00000000;0,00004000;
98784247808,00000000;92,00000000;0,00023000;120259084288,00000000;112,00000000;0,00028000;120259084288,00000000;112,00000000;0,00028000;124554051584,00000000;116,00000000;0,00029000;17179869184,00000000;32,00000000;0,00004000;
98784247808,00000000;92,00000000;0,00023000;124554051584,00000000;116,00000000;0,00029000;120259084288,00000000;112,00000000;0,00028000;124554051584,00000000;116,00000000;0,00029000;17179869184,00000000;32,00000000;0,00004000;
98784247808,00000000;92,00000000;0,00023000;124554051584,00000000;116,00000000;0,00029000;120259084288,00000000;112,00000000;0,00028000;124554051584,00000000;116,00000000;0,00029000;21474836480,00000000;40,00000000;0,00005000;
98784247808,00000000;92,00000000;0,00023000;124554051584,00000000;116,00000000;0,00029000;124554051584,00000000;116,00000000;0,00029000;124554051584,00000000;116,00000000;0,00029000;21474836480,00000000;40,00000000;0,00005000;
98784247808,00000000;92,00000000;0,00023000;124554051584,00000000;116,00000000;0,00029000;124554051584,00000000;116,00000000;0,00029000;128849018880,00000000;120,00000000;0,00030000;21474836480,00000000;40,00000000;0,00005000;
98784247808,00000000;92,00000000;0,00023000;128849018880,00000000;120,00000000;0,00030000;124554051584,00000000;116,00000000;0,00029000;128849018880,00000000;120,00000000;0,00030000;21474836480,00000000;40,00000000;0,00005000;
98784247808,00000000;92,00000000;0,00023000;128849018880,00000000;120,00000000;0,00030000;124554051584,00000000;116,00000000;0,00029000;128849018880,00000000;120,00000000;0,00030000;25769803776,00000000;48,00000000;0,00006000;
98784247808,00000000;92,00000000;0,00023000;128849018880,00000000;120,00000000;0,00030000;128849018880,00000000;120,00000000;0,00030000;128849018880,00000000;120,00000000;0,00030000;25769803776,00000000;48,00000000;0,00006000;
98784247808,00000000;92,00000000;0,00023000;128849018880,00000000;120,00000000;0,00030000;128849018880,00000000;120,00000000;0,00030000;133143986176,00000000;124,00000000;0,00031000;25769803776,00000000;48,00000000;0,00006000;
98784247808,00000000;92,00000000;0,00023000;133143986176,00000000;124,00000000;0,00031000;128849018880,00000000;120,00000000;0,00030000;133143986176,00000000;124,00000000;0,00031000;25769803776,00000000;48,00000000;0,00006000;
98784247808,00000000;92,00000000;0,00023000;133143986176,00000000;124,00000000;0,00031000;128849018880,00000000;120,00000000;0,00030000;133143986176,00000000;124,00000000;0,00031000;30064771072,00000000;56,00000000;0,00007000;
98784247808,00000000;92,00000000;0,00023000;133143986176,00000000;124,00000000;0,00031000;133143986176,00000000;124,00000000;0,00031000;133143986176,00000000;124,00000000;0,00031000;30064771072,00000000;56,00000000;0,00007000;
98784247808,00000000;92,00000000;0,00023000;133143986176,00000000;124,00000000;0,00031000;133143986176,00000000;124,00000000;0,00031000;137438953472,00000000;128,00000000;0,00032000;30064771072,00000000;56,00000000;0,00007000;
